a surprising thing|jambo la ajabu
name of the teacher|jina la mwalimu
They have rebelled against their government|wameaasia serikali yao
They will never come to us.|hawatakuja kwetu abadan.
He is always stealing.|kazi yake ni kuiba abadi.
"Tinda!"  Tinda was his daughter [...].  "At your service!"|"Tinda!"  Tinda alikuwa bintiye [...].  "Abee!"  [Kez]
He is always stealing.|kazi yake ni kuiba abidi.
The passenger got off the bus at the post office stop|Abiria alishuka daladala kituo cha posta
the ocean is crossed by hundreds of airplanes each day|bahari inaabiriwa na ndege mamia kwa siku
Fear God.|abudu Mungu
Pray to God.|abudu Mungu
Serve God.|abudu Mungu
Worship God; the way they worshipped.|abudu Mungu; walivyoabudu [Masomo 305]
S/he told a tale about Abunuwasi.|Alisimulia hadithi ya Abunuwasi.
they abandoned their homes after the storm|waliacha nyumba zao baada ya dharuba
one fault does not warrant divorce of a wife (proverb)|kosa moja haliachi mke (methali)
they asked themselves why she didn't want to leave her man behind|walijiuliza kwa nini hakutaka kumwacha bwana wake [Kez]
they have stopped smoking|wameacha kuvuta sigara
she did not want to part with those children|hakutaka kuachana na watoto hao [Kez]
our opinion is that your fiance is unsuitable for you.  break up with him|maoni yetu ni kwamba mchumba huyu hakufai.  achana naye [Masomo 40].
bequeath property to someone|achia mtu mali
"Chloroform," the woman's mouth lets out|"Chloroform," mdomo wa mwanamke unaachia [Muk]
abandon these issues of yours|achilia mbali mambo yako hayo [Chacha, Masomo 372]
admission fee|ada ya kuingilia
wedding gifts|maada ya harusi
He had not even enough to pay school fees for his children|alikuwa hajatoa hata chapa kuwalipia watoto ada ya shule [Kez]
You have no manners.|Huna adabu.
"according to the Bible, Adam was the first person".|kutokana na biblia, Adamu alikuwa mtu wa kwanza.
today there is wholeness and health, tomorrow trouble and disorder|leo kuna uzima na afya, kesho adha na tafrani [Muk]
The punishment of the offense was to be isolated.|Adhabu ya uhalifu ilikuwa kutengwa [Masomo 314]
What mistake was made/that brought me this endless torment?|Ni kosa gani lilotendeka/liloniletea adhabu hii isomalizika?  [Alamin Mazrui "Kizuizzini"27]
Color is the glory of God, and on the body is not unclean.|Rangi adhama ya Mungu, na mwilini si uchafu [Shaaban Robert, "Rangi Zetu" 2 ii]
to punish any student at all|kumwadhibisha mwanafunzi yeyote [Muk]
Every one of us wants this foe to be punished; Is it just for a person to be punished for something s/he didn't do?.|Kila mmoja wetu anataka adui huyo aadhibiwe [Nyerere, Masomo 274]; Ni haki mtu kuadhibiwa kwa jambo ambalo hakufanya?  [Masomo 417]
If they return late to the lessons we shall punish them [Rech]|Watakapochelewa kurudi kwenye masomo tutawaadhibu [Rech]
celebrate a holiday|adhimisha sikukuu
celebration of the mass|adhimisho la misa takatifu
It is not easy to measure this significant work of his|Kazi yake hii adhimu aifanyayo si rahisi kukadirika [Masomo 395]
The muezzin calls to prayer|Mwadhini anaadhini
Don't criticize me in front of the people.|Usiniadhiri mbele za watu.
noontime|wakati wa adhuuri
mind your manners!|adibu nafsi yako!
A woman can be as a most unobtainable object|mwanamke anaweza kuwa kama kitu adimu sana [Kez]
Every one of us wants this foe to be driven outside of our borders|Kila mmoja wetu anataka adui huyo afukuzwe nje ya mipaka yetu [Nyerere, Masomo 274]
It is better to travel than to stay.|ni afadhali kusafiri kuliko kukaa.
"Soldier!"  Yohana called.  "Effendi!"|"Askari!"  Yohana aliita.  "Afande!"  [Ng]
It is better to travel than to stay.|ni afdhali kusafiri kuliko kukaa.
The main thing is health|bora afia
her strength is not good|afia yake si nzuri
he does not have good vigor|hana afia nzuri
